vehicle_id,dealer_type,stock_type,mileage,price,model_year,make,model,certified,transmission_from_vin,fuel_type_from_vin,number_price_changes
296,F,NEW,19,67569,2024,Lincoln,Corsair,0,A,Gas,0
297,F,NEW,104,67569,2024,Lincoln,Corsair,0,A,Gas,0
298,F,NEW,8,77719,2024,Lincoln,Corsair,0,A,Gas,0
299,F,NEW,20,62619,2024,Lincoln,Corsair,0,A,Gas,0
300,F,NEW,3,63069,2024,Lincoln,Corsair,0,A,Gas,0
301,F,NEW,12,68034,2024,Lincoln,Corsair,0,A,PHEV,6
302,F,NEW,17,64569,2024,Lincoln,Corsair,0,A,Gas,0
303,F,NEW,102,66619,2024,Lincoln,Corsair,0,A,Gas,0
304,F,NEW,34,66619,2024,Lincoln,Corsair,0,A,Gas,0
305,F,NEW,17,66619,2024,Lincoln,Corsair,0,A,Gas,0
306,F,NEW,19,67569,2024,Lincoln,Corsair,0,A,Gas,0
307,F,NEW,104,67569,2024,Lincoln,Corsair,0,A,Gas,0
308,F,NEW,8,77719,2024,Lincoln,Corsair,0,A,Gas,0
309,I,NEW,359,52770,2024,Lincoln,Corsair,0,A,Gas,0
310,I,NEW,16,59045,2024,Lincoln,Corsair,0,A,Gas,0
311,I,NEW,3702,59695,2024,Lincoln,Corsair,0,A,Gas,0
312,I,NEW,10,61070,2024,Lincoln,Corsair,0,A,Gas,0
313,I,NEW,3349,61445,2024,Lincoln,Corsair,0,A,Gas,0
314,I,NEW,13,62270,2024,Lincoln,Corsair,0,A,Gas,0
315,I,NEW,11,61320,2024,Lincoln,Corsair,0,A,Gas,0
316,I,NEW,5,65895,2024,Lincoln,Corsair,0,A,Gas,0
317,I,NEW,4,66520,2024,Lincoln,Corsair,0,A,Gas,0
318,I,NEW,10,67620,2024,Lincoln,Corsair,0,A,Gas,0
319,I,NEW,989,69870,2024,Lincoln,Corsair,0,A,Gas,0
320,I,NEW,7,70870,2024,Lincoln,Corsair,0,A,Gas,0
321,I,NEW,5,70870,2024,Lincoln,Corsair,0,A,Gas,0
322,I,NEW,2143,71770,2024,Lincoln,Corsair,0,A,Gas,0
323,I,NEW,15,74770,2024,Lincoln,Corsair,0,A,Gas,0
324,I,NEW,5,75020,2024,Lincoln,Corsair,0,A,Gas,0
325,I,NEW,4564,51870,2024,Lincoln,Corsair,0,A,Gas,0
326,I,NEW,10,56820,2024,Lincoln,Corsair,0,A,Gas,0
327,I,NEW,294,56820,2024,Lincoln,Corsair,0,A,Gas,0
328,I,NEW,3252,58895,2024,Lincoln,Corsair,0,A,Gas,0
329,I,NEW,5,59020,2024,Lincoln,Corsair,0,A,Gas,0
330,I,NEW,18,59020,2024,Lincoln,Corsair,0,A,Gas,0
331,I,NEW,10,56370,2024,Lincoln,Corsair,0,A,Gas,0
332,I,NEW,5,60945,2024,Lincoln,Corsair,0,A,Gas,0
333,I,NEW,6,62195,2024,Lincoln,Corsair,0,A,Gas,0
334,I,NEW,51,62445,2024,Lincoln,Corsair,0,A,Gas,0
335,I,NEW,1703,63395,2024,Lincoln,Corsair,0,A,Gas,0
336,I,NEW,5,63520,2024,Lincoln,Corsair,0,A,Gas,0
337,I,NEW,10,64495,2024,Lincoln,Corsair,0,A,Gas,0
338,I,NEW,6,65570,2024,Lincoln,Corsair,0,A,Gas,0
339,I,NEW,10,66520,2024,Lincoln,Corsair,0,A,Gas,0
340,I,NEW,10,66520,2024,Lincoln,Corsair,0,A,Gas,0
341,I,NEW,5,66520,2024,Lincoln,Corsair,0,A,Gas,0
342,F,NEW,4564,51870,2024,Lincoln,Corsair,0,A,Gas,0
343,F,NEW,39,56820,2024,Lincoln,Corsair,0,A,Gas,0
344,F,NEW,2787,58895,2024,Lincoln,Corsair,0,A,Gas,0
345,F,NEW,12,59020,2024,Lincoln,Corsair,0,A,Gas,0
346,F,NEW,10,60945,2024,Lincoln,Corsair,0,A,Gas,0
347,F,NEW,6,62195,2024,Lincoln,Corsair,0,A,Gas,0
348,F,NEW,51,62445,2024,Lincoln,Corsair,0,A,Gas,0
349,F,NEW,1703,63395,2024,Lincoln,Corsair,0,A,Gas,0
350,F,NEW,10,63520,2024,Lincoln,Corsair,0,A,Gas,0
351,F,NEW,10,65570,2024,Lincoln,Corsair,0,A,Gas,0
352,I,NEW,10,68145,2024,Lincoln,Nautilus,0,A,Gas,0
353,I,NEW,14,68145,2024,Lincoln,Nautilus,0,A,Gas,0
354,I,NEW,10,68545,2024,Lincoln,Nautilus,0,A,Hybrid,0
355,I,NEW,10,69095,2024,Lincoln,Nautilus,0,A,Gas,0
356,I,NEW,30,69095,2024,Lincoln,Nautilus,0,A,Gas,0
357,I,NEW,41,71645,2024,Lincoln,Nautilus,0,A,Hybrid,0
358,I,NEW,38,72595,2024,Lincoln,Nautilus,0,A,Hybrid,0
359,I,NEW,22,72845,2024,Lincoln,Nautilus,0,A,Gas,0
360,I,NEW,17,72845,2024,Lincoln,Nautilus,0,A,Gas,0
361,I,NEW,50,72845,2024,Lincoln,Nautilus,0,A,Gas,0
362,I,NEW,50,74020,2024,Lincoln,Nautilus,0,A,Gas,0
